semana,inicio_semana,fase,lunes,martes,miércoles,jueves,viernes,sábado,domingo,tirada_larga_km,volumen_objetivo_aprox_km,regla_si_partido_completo,regla_si_fatiga_acumulada
1,2026-03-30,Base con fútbol,6 km recovery Z1-Z2,Fútbol 6-10 km alta intensidad,10 km progresivo suave (6 km Z2 + 4 km Z3 baja),Fútbol 6-10 km alta intensidad,14 km Z2 tirada larga,Descanso + fuerza 30-40',Partido / fútbol 30-90',14,46-50,Si el partido es completo: lunes 4-6 km o descanso; miércoles -2 km; viernes 12 km.,Si hay fatiga acumulada: quitar fuerza del sábado y dejar miércoles en 8 km Z2.
2,2026-04-06,Base con fútbol,8 km Z2 suave,Fútbol 6-10 km alta intensidad,10 km steady Z2 alta,Fútbol 6-10 km alta intensidad,16 km Z2 tirada larga,Descanso + fuerza 30-40',Partido / fútbol 30-90',16,48-52,Si el partido es completo: lunes 6 km; miércoles 8 km; mantener viernes 16 km solo si piernas frescas.,Si RPE >7/10 dos días seguidos: lunes 6 km y miércoles solo Z2.
3,2026-04-13,Base con fútbol,8 km Z2 suave,Fútbol 6-10 km alta intensidad,12 km progresivo (8 km Z2 + 4 km a RM controlado),Fútbol 6-10 km alta intensidad,18 km Z2 tirada larga,Descanso + fuerza 30-40',Partido / fútbol 30-90',18,52-56,Si el partido es completo: lunes 6 km; miércoles 10 km; viernes 16 km.,Si hay sobrecarga: bajar miércoles a 10 km y suprimir fuerza.
4,2026-04-20,Base con fútbol - descarga,6 km recovery Z1-Z2,Fútbol 6-10 km alta intensidad,8 km Z2 con 2 km finales a RM suave,Fútbol 6-10 km alta intensidad,14 km Z2 tirada larga,Descanso + movilidad,Partido / fútbol 30-90',14,42-46,Si el partido es completo: lunes descanso; miércoles 6 km; viernes 12 km.,Semana de descarga: priorizar dormir y llegar fresco al viernes.
5,2026-04-27,Base con fútbol,8 km Z2 suave,Fútbol 6-10 km alta intensidad,12 km progresivo con 3 km a RM,Fútbol 6-10 km alta intensidad,20 km Z2 tirada larga,Descanso + fuerza 30-40',Partido / fútbol 30-90',20,54-58,Si el partido es completo: lunes 6 km; miércoles 10 km; viernes 18 km.,Si fatiga alta: convertir lunes en descanso activo.
6,2026-05-04,Base con fútbol,8 km Z2 suave,Fútbol 6-10 km alta intensidad,12 km steady con 5 km a RM,Fútbol 6-10 km alta intensidad,22 km Z2 tirada larga,Descanso + fuerza 30-40',Partido / fútbol 30-90',22,56-60,Si el partido es completo: lunes 6 km; miércoles 10 km; viernes 20 km.,"Si molestias musculares: miércoles todo Z2, sin bloque a RM."
7,2026-05-11,Base con fútbol,10 km Z2,Fútbol 6-10 km alta intensidad,14 km progresivo suave,Fútbol 6-10 km alta intensidad,24 km Z2 tirada larga,Descanso + fuerza 30-40',Partido / fútbol 30-90',24,60-64,Si el partido es completo: lunes 8 km; miércoles 12 km; viernes 22 km.,Si fatiga acumulada: bajar lunes a 8 km y quitar fuerza.
8,2026-05-18,Base con fútbol - descarga,6 km recovery Z1-Z2,Fútbol 6-10 km alta intensidad,10 km Z2 estable,Fútbol 6-10 km alta intensidad,18 km Z2 tirada larga,Descanso + movilidad,Partido / fútbol 30-90',18,48-52,Si el partido es completo: lunes descanso o 4 km; miércoles 8 km; viernes 16 km.,"Descarga: no forzar ritmos, todo por sensaciones."
9,2026-05-25,Construcción con fútbol,10 km Z2,Fútbol 6-10 km alta intensidad,14 km con 2 x 3 km a RM (1 km suave entre bloques),Fútbol 6-10 km alta intensidad,24 km Z2 tirada larga,Descanso + fuerza 30-40',Partido / fútbol 30-90',24,60-64,Si el partido es completo: lunes 8 km; miércoles 12 km; viernes 22 km.,Si piernas pesadas: dejar miércoles en 12 km progresivo sin bloques.
10,2026-06-01,Construcción con fútbol,8 km Z2 suave,Fútbol 6-10 km alta intensidad,14 km progresivo (últimos 5 km a RM controlado),Fútbol 6-10 km alta intensidad,26 km Z2 tirada larga,Descanso + fuerza 30-40',Partido / fútbol 30-90',26,62-66,Si el partido es completo: lunes 6 km; miércoles 12 km; viernes 24 km.,Si fatiga: bajar miércoles 2 km y sábado solo movilidad.
11,2026-06-08,Construcción con fútbol,10 km Z2,Fútbol 6-10 km alta intensidad,16 km con 6 km a RM,Fútbol 6-10 km alta intensidad,28 km Z2 tirada larga,Descanso + fuerza 30-40',Partido / fútbol 30-90',28,66-70,Si el partido es completo: lunes 8 km; miércoles 14 km; viernes 26 km.,Si la FC está alta en Z2: recortar 10-15% el viernes.
12,2026-06-15,Construcción con fútbol - descarga,6 km recovery Z1-Z2,Fútbol 6-10 km alta intensidad,12 km Z2 estable,Fútbol 6-10 km alta intensidad,22 km Z2 tirada larga,Descanso + movilidad,Partido / fútbol 30-90',22,54-58,Si el partido es completo: lunes descanso; miércoles 10 km; viernes 20 km.,Semana de asimilación: todo cómodo salvo fútbol.
13,2026-06-22,Construcción con fútbol,10 km Z2,Fútbol 6-10 km alta intensidad,16 km progresivo con 8 km a RM controlado,Fútbol 6-10 km alta intensidad,28 km Z2 tirada larga,Descanso + fuerza 30-40',Partido / fútbol 30-90',28,66-70,Si el partido es completo: lunes 8 km; miércoles 14 km; viernes 26 km.,Si hay fatiga acumulada: miércoles 12 km Z2 + viernes 24 km.
14,2026-06-29,Específica verano sin fútbol,8 km Z2 suave,Series 5 x 1 km a ritmo 10K controlado (total 10 km),6 km recovery Z1-Z2,10 km tempo suave (2 + 6 tempo + 2),8 km Z2,Descanso + movilidad,24 km Z2 tirada larga,24,66,Si aparece amistoso: reducir lunes a 6 km y eliminar sábado.,Si fatiga: dejar las series en 4 x 1 km.
15,2026-07-06,Específica verano sin fútbol,8 km Z2 suave,Series 6 x 1 km a ritmo 10K controlado (total 11 km),6 km recovery Z1-Z2,10 km con 6 km tempo / umbral bajo,8 km Z2,Descanso + movilidad,26 km Z2 tirada larga,26,69,Si aparece amistoso: sustituir el martes por 8 km Z2.,Si fatiga: jueves 10 km totales y domingo 24 km.
16,2026-07-13,Específica verano sin fútbol - descarga,6 km Z2,Series 4 x 800 m controladas (total 8 km),6 km recovery Z1-Z2,8 km con 4 km tempo,8 km Z2,Descanso + movilidad,20 km Z2 tirada larga,20,56,No aplica: sin fútbol estructurado en julio/agosto.,"Si fatiga: martes 6 km suaves con 4 rectas, sin series."
17,2026-07-20,Específica verano sin fútbol,8 km Z2,Series 4 x 1200 m a ritmo 10K controlado (total 10 km),6 km recovery Z1-Z2,10 km con 6 km a RM,8 km Z2,Descanso + movilidad,28 km Z2 tirada larga,28,70,Si aparece amistoso: quitar el jueves de calidad y dejar 10 km Z2.,Si fatiga: martes 4 x 1200 y domingo 26 km.
18,2026-07-27,Específica verano sin fútbol,8 km Z2,Series 3 x 2 km a ritmo media maratón controlado (total 10 km),6 km recovery Z1-Z2,10 km progresivo hasta RM,8 km Z2,Descanso + movilidad,24 km con 2 x 4 km a RM dentro,24,66,Si aparece amistoso: mantener solo un día de calidad esa semana.,Si fatiga: jueves 8 km Z2 y domingo todo Z2.
19,2026-08-03,Específica verano sin fútbol,8 km Z2,Series 5 x 1 km a ritmo 10K controlado (total 10 km),6 km recovery Z1-Z2,14 km con 10 km tempo / RM,8 km Z2,Descanso + movilidad,30 km Z2 con últimos 6 km a RM,30,74,Si aparece amistoso: pasar el jueves a 10 km Z2.,Si fatiga: recortar martes a 5 x 1 km y domingo a 28 km.
20,2026-08-10,Específica verano sin fútbol - descarga,6 km Z2,Series 5 x 800 m controladas (total 8 km),6 km recovery Z1-Z2,8 km con 4 km tempo,8 km Z2,Descanso + movilidad,24 km Z2 tirada larga,24,60,No aplica: sin fútbol estructurado en julio/agosto.,Si hay fatiga: toda la semana en Z2 salvo 4 rectas el martes.
21,2026-08-17,Específica verano sin fútbol - pico,8 km Z2,Series 3 x 2 km a ritmo media maratón / RM alto (total 12 km),6 km recovery Z1-Z2,10 km con 6 km a RM,8 km Z2,Descanso + movilidad,32 km Z2 progresivo con últimos 8 km a RM,32,76,Si aparece amistoso: eliminar el jueves de calidad por completo.,Si fatiga: martes 2 x 3 km y domingo 28-30 km.
22,2026-08-24,Específica verano sin fútbol,8 km Z2,Series 8 x 800 m a ritmo 10K controlado (total 10 km),6 km recovery Z1-Z2,10 km tempo continuo,8 km Z2,Descanso + movilidad,28 km Z2 tirada larga,28,70,Si aparece amistoso: martes 8 km Z2 y jueves 10 km con 4 km RM.,Si fatiga: jueves 10 km suaves y domingo 26 km.
23,2026-08-31,Construcción específica con fútbol,8 km Z2,Fútbol 6-10 km alta intensidad,14 km con 2 x 4 km a RM (1 km suave entre bloques),Fútbol 6-10 km alta intensidad,26 km Z2 tirada larga,Descanso + movilidad,Partido / fútbol 30-90',26,62-66,Si el partido es completo: lunes 6 km; miércoles 12 km; viernes 24 km.,Si fatiga: miércoles 12 km progresivo sin bloques.
24,2026-09-07,Construcción específica con fútbol,8 km Z2,Fútbol 6-10 km alta intensidad,16 km con 10 km a RM,Fútbol 6-10 km alta intensidad,30 km Z2 con últimos 8 km a RM,Descanso + movilidad,Partido / fútbol 30-90',30,68-72,Si el partido es completo: lunes 6 km; miércoles 14 km; viernes 28 km.,Si fatiga: viernes 26 km sin bloque final a RM.
25,2026-09-14,Taper 1,6 km Z2 suave,Fútbol 6-10 km alta intensidad,12 km con 6 km a RM,Fútbol 6-10 km alta intensidad,24 km Z2 tirada larga,Descanso + movilidad,Partido / fútbol 30-90',24,54-58,Si el partido es completo: lunes 4 km; miércoles 10 km; viernes 22 km.,Si fatiga: mantener miércoles todo Z2.
26,2026-09-21,Taper 2,6 km Z1-Z2,Fútbol 6-10 km alta intensidad,10 km con 4 km a RM,Fútbol 6-10 km alta intensidad,18 km Z2 tirada larga,Descanso + movilidad,Partido / fútbol 30-90',18,46-50,Si el partido es completo: lunes descanso; miércoles 8 km; viernes 16 km.,"Prioridad absoluta a frescura: dormir, hidratar y no añadir carga extra."
27,2026-09-28,Taper 3,5-6 km recovery Z1-Z2,Fútbol 6-10 km alta intensidad,8 km con 3 km a RM,Fútbol 6-10 km alta intensidad,12 km Z2 tirada larga,Descanso + movilidad,"Partido / fútbol 30-60' si es posible; si no, partido completo",12,34-40,Si el partido es completo: lunes 4 km y miércoles 6 km suaves.,Si fatiga: miércoles 6 km Z2 y viernes 10 km.
28,2026-10-05,Semana de carrera,5 km muy suave + movilidad,Fútbol (solo obligatorio; sin extras ni gimnasio),6 km suave con 4 x 20'' alegres,Fútbol (solo obligatorio; salir antes si existe margen),5 km muy suaves,Descanso total,MARATÓN EINDHOVEN 42.2 km,42.2,66-74,"No hay partido: la carrera reemplaza el domingo. Si el martes/jueves cargan mucho, quitar el miércoles.","Prioridad máxima a llegar fresco: nada de fuerza, nada de volumen extra, carbohidratos altos."
