Activity ID,Activity Date,Activity Name,Activity Type,Distance,Distance.1,Moving Time,Average Heart Rate,Relative Effort,Max Heart Rate,Elapsed Time,Average Speed,Max Speed,Elevation Gain,Start Time
12745804274,2024-10-26 07:41:20,Light late morning run,Run,5.00140,5001.4,1321,,,,1321,3.786,11.72,12.7,2024-10-26T07:41:20Z
16892893687,2025-12-31 12:00:08,San Silvestre Alcobendas,Run,10.06420,10064.2,2581,,,,2581,3.899,5.42,111.4,2025-12-31T12:00:08Z
16920458530,2026-01-03 10:12:34,Morning Alpine Ski,AlpineSki,2.46590,2465.9,605,,,,782,4.076,15.9,86.2,2026-01-03T10:12:34Z
17479332939,2026-02-22 07:41:39,Morning Run,Run,0.46240,462.4,112,,,,121,4.129,6.76,3.2,2026-02-22T07:41:39Z
17479356607,2026-02-22 07:44:20,All-Nighter: Return home,Run,1.67850,1678.5,467,,,,470,3.594,6.24,18.1,2026-02-22T07:44:20Z
17627983350,2026-03-06 19:47:29,Evening Run,Run,7.03730,7037.3,2019,,,,2023,3.486,7.5,11.4,2026-03-06T19:47:29Z
17663527428,2026-03-09 19:00:43,Evening Run,Run,7.49540,7495.4,2289,149.1,27.0,162.0,2289,3.275,7.522,4.1,2026-03-09T19:00:43Z
17683371210,2026-03-11 11:11:41,Lunch Run,Run,8.01680,8016.8,2322,164.1,65.0,178.0,2325,3.453,5.057,,2026-03-11T11:11:41Z
17714768495,2026-03-14 05:37:59,Vuelta club,Run,2.04250,2042.5,636,,,,636,3.211,5.04,8.0,2026-03-14T05:37:59Z
17743902068,2026-03-16 17:02:36,Afternoon Run,Run,8.01500,8015.0,2418,143.9,20.0,162.0,2418,3.315,6.26,6.9,2026-03-16T17:02:36Z
17771093734,2026-03-18 19:12:41,Evening Run,Run,11.50360,11503.6,3625,152.7,61.0,165.0,3647,3.173,8.433,16.3,2026-03-18T19:12:41Z
17831479178,2026-03-23 18:56:23,Carrera por el bosque,Run,8.40890,8408.9,2719,140.2,21.0,169.0,2809,3.093,6.24,9.4,2026-03-23T18:56:23Z
17952707071,2026-04-02 18:30:16,Dommelloop 10k,Run,9.98170,9981.7,2469,182.6,138.0,196.0,2473,4.043,7.1,4.0,2026-04-02T18:30:16Z
17988434303,2026-04-05 14:29:29,Afternoon Run,Run,10.00550,10005.5,3537,140.9,19.0,158.0,3560,2.829,5.267,3.3,2026-04-05T14:29:29Z
17995052043,2026-04-06 08:27:18,Morning Run,Run,10.01080,10010.8,2879,163.0,79.0,180.0,2902,3.477,6.083,5.9,2026-04-06T08:27:18Z
